"No.","Time","Source","Destination","Protocol","Length","Info"
"1","22:28:38,167090","controller","host","HCI_EVT","7","Rcvd Command Status (No Operation)"
"2","22:28:38,246609","host","controller","HCI_CMD","4","Sent Reset"
"3","22:28:38,486169","controller","host","HCI_EVT","7","Rcvd Command Complete (Reset)"
"4","22:28:38,486983","host","controller","HCI_CMD","4","Sent Read Buffer Size"
"5","22:28:38,489147","controller","host","HCI_EVT","14","Rcvd Command Complete (Read Buffer Size)"
"6","22:28:38,489877","host","controller","HCI_CMD","11","Sent Host Buffer Size"
"7","22:28:38,491849","controller","host","HCI_EVT","7","Rcvd Command Complete (Host Buffer Size)"
"8","22:28:38,492934","host","controller","HCI_CMD","4","Sent Read Local Version Information"
"9","22:28:38,495407","controller","host","HCI_EVT","15","Rcvd Command Complete (Read Local Version Information)"
"10","22:28:38,496128","host","controller","HCI_CMD","4","Sent Read BD ADDR"
"11","22:28:38,498037","controller","host","HCI_EVT","13","Rcvd Command Complete (Read BD ADDR)"
"12","22:28:38,498773","host","controller","HCI_CMD","4","Sent Read Local Supported Commands"
"13","22:28:38,500644","controller","host","HCI_EVT","71","Rcvd Command Complete (Read Local Supported Commands)"
"14","22:28:38,501383","host","controller","HCI_CMD","5","Sent Read Local Extended Features"
"15","22:28:38,503130","controller","host","HCI_EVT","17","Rcvd Command Complete (Read Local Extended Features)"
"16","22:28:38,503872","host","controller","HCI_CMD","5","Sent Write Simple Pairing Mode"
"17","22:28:38,505743","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Simple Pairing Mode)"
"18","22:28:38,506476","host","controller","HCI_CMD","6","Sent Write LE Host Supported"
"19","22:28:38,508516","controller","host","HCI_EVT","7","Rcvd Command Complete (Write LE Host Supported)"
"20","22:28:38,509734","host","controller","HCI_CMD","5","Sent Read Local Extended Features"
"21","22:28:38,511665","controller","host","HCI_EVT","17","Rcvd Command Complete (Read Local Extended Features)"
"22","22:28:38,512278","host","controller","HCI_CMD","5","Sent Read Local Extended Features"
"23","22:28:38,514798","controller","host","HCI_EVT","17","Rcvd Command Complete (Read Local Extended Features)"
"24","22:28:38,515518","host","controller","HCI_CMD","5","Sent Write Secure Connections Host Support"
"25","22:28:38,517684","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Secure Connections Host Support)"
"26","22:28:38,518449","host","controller","HCI_CMD","4","Sent LE Read White List Size"
"27","22:28:38,520263","controller","host","HCI_EVT","8","Rcvd Command Complete (LE Read White List Size)"
"28","22:28:38,520999","host","controller","HCI_CMD","4","Sent LE Read Buffer Size"
"29","22:28:38,522959","controller","host","HCI_EVT","10","Rcvd Command Complete (LE Read Buffer Size)"
"30","22:28:38,523693","host","controller","HCI_CMD","4","Sent LE Read Supported States"
"31","22:28:38,525471","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Read Supported States)"
"32","22:28:38,526238","host","controller","HCI_CMD","4","Sent LE Read Local Supported Features"
"33","22:28:38,527947","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Read Local Supported Features)"
"34","22:28:38,528552","host","controller","HCI_CMD","4","Sent LE Read Resolving List Size"
"35","22:28:38,530508","controller","host","HCI_EVT","8","Rcvd Command Complete (LE Read Resolving List Size)"
"36","22:28:38,531249","host","controller","HCI_CMD","4","Sent LE Read Maximum Data Length"
"37","22:28:38,533051","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Read Maximum Data Length)"
"38","22:28:38,533784","host","controller","HCI_CMD","4","Sent LE Read Suggested Default Data Length"
"39","22:28:38,535579","controller","host","HCI_EVT","11","Rcvd Command Complete (LE Read Suggested Default Data Length)"
"40","22:28:38,535962","host","controller","HCI_CMD","12","Sent LE Set Event Mask"
"41","22:28:38,537494","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Event Mask)"
"42","22:28:38,538228","host","controller","HCI_CMD","12","Sent Set Event Mask"
"43","22:28:38,540026","controller","host","HCI_EVT","7","Rcvd Command Complete (Set Event Mask)"
"44","22:28:38,540583","host","controller","HCI_CMD","4","Sent Read Local Supported Codecs"
"45","22:28:38,542215","controller","host","HCI_EVT","13","Rcvd Command Complete (Read Local Supported Codecs)"
"46","22:28:38,544205","host","controller","HCI_CMD","4","Sent LE Clear Resolving List"
"47","22:28:38,546143","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Clear Resolving List)"
"48","22:28:38,546473","host","controller","HCI_CMD","6","Sent LE Set Resolvable Private Address Timeout"
"49","22:28:38,548051","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Resolvable Private Address Timeout)"
"50","22:28:38,548184","host","controller","HCI_CMD","5","Sent Write Inquiry Mode"
"51","22:28:38,551129","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Inquiry Mode)"
"52","22:28:38,551250","host","controller","HCI_CMD","5","Sent Write Page Scan Type"
"53","22:28:38,554078","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Page Scan Type)"
"54","22:28:38,554194","host","controller","HCI_CMD","5","Sent Write Inquiry Scan Type"
"55","22:28:38,556847","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Inquiry Scan Type)"
"56","22:28:38,556986","host","controller","HCI_CMD","7","Sent Write Class of Device"
"57","22:28:38,559489","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Class of Device)"
"58","22:28:38,559607","host","controller","HCI_CMD","6","Sent Write Page Timeout"
"59","22:28:38,562385","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Page Timeout)"
"60","22:28:38,562501","host","controller","HCI_CMD","6","Sent Write Default Link Policy Settings"
"61","22:28:38,565140","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Default Link Policy Settings)"
"62","22:28:38,565274","host","controller","HCI_CMD","4","Sent Vendor Command 0x0153 (opcode 0xFD53)"
"63","22:28:38,567099","controller","host","HCI_EVT","21","Rcvd Command Complete (Vendor Command 0x0153 [opcode 0xFD53])"
"64","22:28:38,567216","host","controller","HCI_CMD","4","Sent Vendor Command 0x017D (opcode 0xFD7D)"
"65","22:28:38,568898","controller","host","HCI_EVT","18","Rcvd Command Complete (Vendor Command 0x017D [opcode 0xFD7D])"
"66","22:28:38,569061","host","controller","HCI_CMD","4","Sent Read Local Name"
"67","22:28:38,571315","controller","host","HCI_EVT","255","Rcvd Command Complete (Read Local Name)"
"68","22:28:38,572188","host","controller","HCI_CMD","43","Sent LE Add Device to Resolving List"
"69","22:28:38,574917","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Add Device to Resolving List)"
"70","22:28:38,575137","host","controller","HCI_CMD","12","Sent LE Set Privacy Mode"
"71","22:28:38,576828","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Privacy Mode)"
"72","22:28:38,577014","host","controller","HCI_CMD","5","Sent LE Set Address Resolution Enable"
"73","22:28:38,579402","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Address Resolution Enable)"
"74","22:28:38,579596","host","controller","HCI_CMD","252","Sent Change Local Name"
"75","22:28:38,582012","controller","host","HCI_EVT","7","Rcvd Command Complete (Change Local Name)"
"76","22:28:38,582240","host","controller","HCI_CMD","245","Sent Write Extended Inquiry Response"
"77","22:28:38,584937","controller","host","HCI_EVT","7","Rcvd Command Complete (Write Extended Inquiry Response)"
"78","22:28:38,585130","host","controller","HCI_CMD","4","Sent LE Rand"
"79","22:28:38,586798","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Rand)"
"80","22:28:38,587013","host","controller","HCI_CMD","5","Sent LE Set Address Resolution Enable"
"81","22:28:38,588757","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Address Resolution Enable)"
"82","22:28:38,588974","host","controller","HCI_CMD","43","Sent LE Add Device to Resolving List"
"83","22:28:38,590312","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Add Device to Resolving List)"
"84","22:28:38,590519","host","controller","HCI_CMD","12","Sent LE Set Privacy Mode"
"85","22:28:38,592014","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Privacy Mode)"
"86","22:28:38,592234","host","controller","HCI_CMD","5","Sent LE Set Address Resolution Enable"
"87","22:28:38,593996","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Address Resolution Enable)"
"88","22:28:38,594203","host","controller","HCI_CMD","5","Sent LE Set Address Resolution Enable"
"89","22:28:38,595543","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Address Resolution Enable)"
"90","22:28:38,595723","host","controller","HCI_CMD","43","Sent LE Add Device to Resolving List"
"91","22:28:38,597218","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Add Device to Resolving List)"
"92","22:28:38,597395","host","controller","HCI_CMD","12","Sent LE Set Privacy Mode"
"93","22:28:38,598861","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Privacy Mode)"
"94","22:28:38,599012","host","controller","HCI_CMD","5","Sent LE Set Address Resolution Enable"
"95","22:28:38,600474","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Address Resolution Enable)"
"96","22:28:38,600642","host","controller","HCI_CMD","10","Sent LE Set Random Address"
"97","22:28:38,602119","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Random Address)"
"98","22:28:38,602280","host","controller","HCI_CMD","4","Sent LE Rand"
"99","22:28:38,603752","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Rand)"
"100","22:28:38,604110","host","controller","HCI_CMD","4","Sent LE Rand"
"101","22:28:38,605593","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Rand)"
"102","22:28:38,605782","host","controller","HCI_CMD","4","Sent LE Rand"
"103","22:28:38,607090","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Rand)"
"104","22:28:38,607309","host","controller","HCI_CMD","4","Sent LE Rand"
"105","22:28:38,608665","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Rand)"
"106","22:28:38,608839","host","controller","HCI_CMD","4","Sent LE Rand"
"107","22:28:38,610287","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Rand)"
"108","22:28:38,610575","host","controller","HCI_CMD","4","Sent LE Rand"
"109","22:28:38,611618","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Rand)"
"110","22:28:38,611931","host","controller","HCI_CMD","4","Sent LE Rand"
"111","22:28:38,613325","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Rand)"
"112","22:28:38,613686","host","controller","HCI_CMD","4","Sent LE Rand"
"113","22:28:38,614837","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Rand)"
"114","22:28:38,615174","host","controller","HCI_CMD","4","Sent LE Rand"
"115","22:28:38,616216","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Rand)"
"116","22:28:38,616548","host","controller","HCI_CMD","4","Sent LE Rand"
"117","22:28:38,617510","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Rand)"
"118","22:28:38,617728","host","controller","HCI_CMD","4","Sent LE Rand"
"119","22:28:38,618519","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Rand)"
"120","22:28:38,618711","host","controller","HCI_CMD","4","Sent LE Rand"
"121","22:28:38,619500","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Rand)"
"122","22:28:38,619683","host","controller","HCI_CMD","4","Sent LE Rand"
"123","22:28:38,620436","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Rand)"
"124","22:28:38,620515","host","controller","HCI_CMD","4","Sent LE Rand"
"125","22:28:38,621363","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Rand)"
"126","22:28:38,621450","host","controller","HCI_CMD","4","Sent LE Rand"
"127","22:28:38,622080","controller","host","HCI_EVT","15","Rcvd Command Complete (LE Rand)"
"128","22:28:38,622174","host","controller","HCI_CMD","12","Sent Vendor Command 0x0154 (opcode 0xFD54)"
"129","22:28:38,622730","controller","host","HCI_EVT","8","Rcvd Command Complete (Vendor Command 0x0154 [opcode 0xFD54])"
"130","22:28:38,622844","host","controller","HCI_CMD","5","Sent LE Set Address Resolution Enable"
"131","22:28:38,623410","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Address Resolution Enable)"
"132","22:28:38,623532","host","controller","HCI_CMD","43","Sent LE Add Device to Resolving List"
"133","22:28:38,624264","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Add Device to Resolving List)"
"134","22:28:38,624477","host","controller","HCI_CMD","5","Sent LE Set Address Resolution Enable"
"135","22:28:38,625079","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Address Resolution Enable)"
"136","22:28:38,625216","host","controller","HCI_CMD","12","Sent Vendor Command 0x0154 (opcode 0xFD54)"
"137","22:28:38,625935","controller","host","HCI_EVT","8","Rcvd Command Complete (Vendor Command 0x0154 [opcode 0xFD54])"
"138","22:28:38,626051","host","controller","HCI_CMD","5","Sent LE Set Address Resolution Enable"
"139","22:28:38,626732","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Address Resolution Enable)"
"140","22:28:38,626835","host","controller","HCI_CMD","43","Sent LE Add Device to Resolving List"
"141","22:28:38,627528","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Add Device to Resolving List)"
"142","22:28:38,627646","host","controller","HCI_CMD","5","Sent LE Set Address Resolution Enable"
"143","22:28:38,628388","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Address Resolution Enable)"
"144","22:28:38,628495","host","controller","HCI_CMD","12","Sent Vendor Command 0x0154 (opcode 0xFD54)"
"145","22:28:38,629160","controller","host","HCI_EVT","8","Rcvd Command Complete (Vendor Command 0x0154 [opcode 0xFD54])"
"146","22:28:38,629277","host","controller","HCI_CMD","5","Sent LE Set Address Resolution Enable"
"147","22:28:38,629976","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Address Resolution Enable)"
"148","22:28:38,630095","host","controller","HCI_CMD","43","Sent LE Add Device to Resolving List"
"149","22:28:38,630798","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Add Device to Resolving List)"
"150","22:28:38,630916","host","controller","HCI_CMD","5","Sent LE Set Address Resolution Enable"
"151","22:28:38,631585","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Address Resolution Enable)"
"152","22:28:38,631720","host","controller","HCI_CMD","12","Sent Vendor Command 0x0154 (opcode 0xFD54)"
"153","22:28:38,632440","controller","host","HCI_EVT","8","Rcvd Command Complete (Vendor Command 0x0154 [opcode 0xFD54])"
"154","22:28:38,633120","host","controller","HCI_CMD","5","Sent LE Set Address Resolution Enable"
"155","22:28:38,633991","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Address Resolution Enable)"
"156","22:28:38,634155","host","controller","HCI_CMD","43","Sent LE Add Device to Resolving List"
"157","22:28:38,635033","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Add Device to Resolving List)"
"158","22:28:38,635185","host","controller","HCI_CMD","5","Sent LE Set Address Resolution Enable"
"159","22:28:38,635830","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Address Resolution Enable)"
"160","22:28:38,636049","host","controller","HCI_CMD","12","Sent Vendor Command 0x0154 (opcode 0xFD54)"
"161","22:28:38,636826","controller","host","HCI_EVT","8","Rcvd Command Complete (Vendor Command 0x0154 [opcode 0xFD54])"
"162","22:28:38,636958","host","controller","HCI_CMD","5","Sent LE Set Address Resolution Enable"
"163","22:28:38,637654","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Address Resolution Enable)"
"164","22:28:38,638418","host","controller","HCI_CMD","43","Sent LE Add Device to Resolving List"
"165","22:28:38,639560","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Add Device to Resolving List)"
"166","22:28:38,640187","host","controller","HCI_CMD","5","Sent LE Set Address Resolution Enable"
"167","22:28:38,641410","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Address Resolution Enable)"
"168","22:28:38,641530","host","controller","HCI_CMD","12","Sent Vendor Command 0x0154 (opcode 0xFD54)"
"169","22:28:38,642137","controller","host","HCI_EVT","8","Rcvd Command Complete (Vendor Command 0x0154 [opcode 0xFD54])"
"170","22:28:38,642340","host","controller","HCI_CMD","5","Sent LE Set Address Resolution Enable"
"171","22:28:38,643486","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Address Resolution Enable)"
"172","22:28:38,644094","host","controller","HCI_CMD","43","Sent LE Add Device to Resolving List"
"173","22:28:38,644942","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Add Device to Resolving List)"
"174","22:28:38,645054","host","controller","HCI_CMD","5","Sent LE Set Address Resolution Enable"
"175","22:28:38,645727","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Address Resolution Enable)"
"176","22:28:38,645867","host","controller","HCI_CMD","12","Sent Vendor Command 0x0154 (opcode 0xFD54)"
"177","22:28:38,646532","controller","host","HCI_EVT","8","Rcvd Command Complete (Vendor Command 0x0154 [opcode 0xFD54])"
"178","22:28:38,646636","host","controller","HCI_CMD","5","Sent LE Set Address Resolution Enable"
"179","22:28:38,647285","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Address Resolution Enable)"
"180","22:28:38,647408","host","controller","HCI_CMD","43","Sent LE Add Device to Resolving List"
"181","22:28:38,648099","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Add Device to Resolving List)"
"182","22:28:38,648203","host","controller","HCI_CMD","5","Sent LE Set Address Resolution Enable"
"183","22:28:38,648955","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Address Resolution Enable)"
"184","22:28:38,649055","host","controller","HCI_CMD","12","Sent Vendor Command 0x0154 (opcode 0xFD54)"
"185","22:28:38,649625","controller","host","HCI_EVT","8","Rcvd Command Complete (Vendor Command 0x0154 [opcode 0xFD54])"
"186","22:28:38,649698","host","controller","HCI_CMD","5","Sent LE Set Address Resolution Enable"
"187","22:28:38,650158","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Address Resolution Enable)"
"188","22:28:38,650227","host","controller","HCI_CMD","43","Sent LE Add Device to Resolving List"
"189","22:28:38,650692","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Add Device to Resolving List)"
"190","22:28:38,650754","host","controller","HCI_CMD","5","Sent LE Set Address Resolution Enable"
"191","22:28:38,651174","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Address Resolution Enable)"
"192","22:28:38,651237","host","controller","HCI_CMD","12","Sent Vendor Command 0x0154 (opcode 0xFD54)"
"193","22:28:38,651689","controller","host","HCI_EVT","8","Rcvd Command Complete (Vendor Command 0x0154 [opcode 0xFD54])"
"194","22:28:38,651747","host","controller","HCI_CMD","5","Sent LE Set Address Resolution Enable"
"195","22:28:38,652179","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Address Resolution Enable)"
"196","22:28:38,652245","host","controller","HCI_CMD","43","Sent LE Add Device to Resolving List"
"197","22:28:38,652931","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Add Device to Resolving List)"
"198","22:28:38,653019","host","controller","HCI_CMD","5","Sent LE Set Address Resolution Enable"
"199","22:28:38,653560","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Address Resolution Enable)"
"200","22:28:38,653642","host","controller","HCI_CMD","12","Sent Vendor Command 0x0154 (opcode 0xFD54)"
